,split,test loglike_lid_glm_large_lip,test brier score_lid_glm,test roc_auc_lid_glm,test loglike_sddr,test brier score_sddr,test roc_auc_sddr,test loglike_traditional,test brier score,test roc_auc,test loglike_nn,test brier score_nn,test roc_auc_nn
0,1,-0.16181815,0.044917475,0.9862430737291831,-0.0474283285439014,310.3324890136719,0.997611803304546,-0.6015776518951406,0.20682719434116295,0.740858215451167,-0.07125041008050062,0.47523364482726604,0.9962770835534444
1,2,-0.12723221,0.03385086,0.9918946493179622,-0.0602301880717277,225.7414093017578,0.9963057746616027,-0.6009175351524841,0.2065498221746711,0.7415884401896671,-0.06884360031826754,0.47578190023523986,0.9956845771815096
2,3,-0.15889043,0.043102678,0.9888636952714274,-0.0515832342207431,487.473876953125,0.9977181913932518,-0.603292040725339,0.20702946813052167,0.7427710415564842,-0.1300788270617521,0.45569002646717055,0.9887205840710882
3,4,-0.14565554,0.039335676,0.990535551558753,-0.024062780663371,416.1045837402344,0.9990849520383692,-0.6003213665717151,0.20602656080163217,0.7441651678657074,-0.08736604907735213,0.468749414251309,0.9936082134292566
4,5,-0.1290305,0.033350907,0.9926022001824873,-0.0215976331382989,266.7888488769531,0.9993343442748632,-0.5921722443859695,0.20272210373187405,0.7541190632410703,-0.06755052375253592,0.4777980897446476,0.996403750737736
