,family,link,lipschitz_const,norm,lr,epochs,width,depth,loss_crits,part_to_train,num_blocks,activation,num_batches,model_type
0,gaussian,identity,1.65,2,0.001,3000,9,3,log_like,network,2,group_sort,1,ldglm
1,gaussian,identity,1.7000000000000002,2,0.001,3000,36,3,log_like,full,1,group_sort,1,ldglm
2,gaussian,identity,1.8,1,0.001,3000,9,1,log_like,full,1,group_sort,1,ldglm
3,gaussian,identity,1.7000000000000002,2,0.001,3000,9,2,log_like,network,2,group_sort,1,ldglm
4,gaussian,identity,1.9,1,0.001,3000,9,3,log_like,full,1,group_sort,1,ldglm
