split,test loglike_lid_glm_with_nu_d,test mse_lid_glm_with_nu_d,test loglike_traditional,test mse_traditional,test loglike_sddr,test mse_sddr,test loglike_lid_glm_no_nu_d,test mse_lid_glm_no_nu_d,test loglike_elastic_net,test mse_elastic_net
1,1.1843169,0.16921738,-0.6869395068361354,0.22990581772522023,-0.6917305,0.12557203,-0.4462531,0.14293319,-0.6869395068274813,0.22990581772076762
2,1.1799437,0.1590603,-0.7128977069099257,0.24357675046675722,-1.8284452,0.14314617,-0.4379458,0.14057803,-0.7128977069070684,0.24357675046539554
3,0.8648104,0.1533573,-0.6953916788406405,0.23368015175009532,-0.48430383,0.13797712,-0.49504134,0.15758327,-0.6953916788520035,0.23368015175607174
4,1.2238955,0.15189649,-0.7596948786140761,0.26427997614597243,-0.7255666,0.16893,-0.48244885,0.15366407,-0.7596948786214159,0.2642799761493029
5,0.6720935,0.23204492,-0.7460548861882931,0.2596480603881658,-0.6541789,0.19437435,-0.5328777,0.16997075,-0.746054886183015,0.25964806038561544
