split,test loglike_lid_glm_with_nu_d,test mse_lid_glm_with_nu_d,test loglike_traditional,test mse_traditional,test loglike_sddr,test mse_sddr,test loglike_lid_glm_no_nu_d,test mse_lid_glm_no_nu_d,test loglike_elastic_net,test mse_elastic_net
1,-0.27961493,0.10262787,-0.6142347739421906,0.20000601415618188,-0.17512076,0.11152744,-0.34664726,0.117106944,-0.6142347739435705,0.20000601415673425
2,-0.27008945,0.113636635,-0.5808752561338363,0.1841423422825413,-0.23493639,0.11223817,-0.3130174,0.10948942,-0.5808752561296743,0.18414234228069895
3,-0.5029518,0.20171952,-0.617149616404356,0.20050619912932074,-1.4714963,0.19087501,-0.5321324,0.16970435,-0.6171496164132627,0.20050619913320067
4,-0.38280594,0.1255148,-0.6368210843401951,0.20921697584648719,-0.50408643,0.13501875,-0.39410654,0.1287672,-0.6368210842902268,0.2092169758259349
5,-0.594814,0.15765128,-0.7843258902534682,0.2671289390357188,-0.5050855,0.15102455,-0.4602931,0.14699218,-0.784325890317275,0.26712893906090546
