,family,link,lipschitz_const,norm,lr,epochs,width,depth,loss_crits,part_to_train,num_blocks,activation,lipschitz_const_2,width_2,depth_2,num_blocks_2,activation_2,num_batches,model_type
0,gaussian,identity,1.75,2,0.001,3000,9,2,log_like,full,1,relu,1.99,8,3,1,swish,1,ldglm
1,gaussian,identity,2.0,2,0.001,3000,9,2,log_like,nu_p_then_nu_d,1,relu,1.6,4,3,2,swish,1,ldglm
2,gaussian,identity,2.0,2,0.001,3000,9,3,log_like,full,1,relu,1.99,8,2,1,relu,1,ldglm
3,gaussian,identity,2.0,2,0.001,3000,9,2,log_like,nu_p_then_nu_d,1,relu,1.4,4,2,1,swish,1,ldglm
4,gaussian,identity,1.875,2,0.001,3000,9,3,log_like,full,1,relu,1.99,8,2,1,relu,1,ldglm
